"content","review_date","score","service","segment","customer_id","source"
"After the identity provider approves my sign-in, I land back on the login page. Three colleagues are stuck in the same loop this morning.","2026-08-03","5","Identity","SMB","ACCT-001","support-ticket:FB-001"
"We received two paid invoices for one renewal period. There was no extra seat purchase, so the second subscription charge makes no sense.","2026-08-03","","Billing","Mid-market","ACCT-026","in-app-survey:FB-026"
"The search results ignore the project reference I typed and show old conversations instead. This is frustrating when a customer is waiting.","2026-08-03","2","Search","SMB","ACCT-010","support-ticket:FB-082"
"All regions and custom fields appeared in the downloaded report this time. The export worked perfectly for our leadership update.","2026-08-03","5","Reporting","SMB","ACCT-022","support-ticket:FB-142"
"The dark display option is comfortable during evening shifts. It is a small touch, but I am glad the interface includes it.","2026-08-03","","General","Enterprise","ACCT-054","success-call:FB-174"
"We enabled SAML for the operations team and now nobody can get past the company sign-in screen. Password login is disabled, so we are blocked.","2026-08-04","5","Identity","Mid-market","ACCT-026","in-app-survey:FB-002"
"The renewal payment appears twice on our bank statement. This has created extra reconciliation work for a bill that should have been routine.","2026-08-04","","Billing","Mid-market","ACCT-027","success-call:FB-027"
"The keyboard focus disappears inside the color picker. I cannot choose a label color without reaching for a mouse, which makes the control inaccessible to me.","2026-08-04","","General","Mid-market","ACCT-035","in-app-survey:FB-107"
"Webhook events are reaching our endpoint within seconds and the identifiers make deduplication straightforward. The integration has been reliable for us.","2026-08-04","","Integrations","Enterprise","ACCT-051","success-call:FB-147"
"Our procurement review is scheduled for next month. The internal owner has added the renewal date to the team calendar.","2026-08-04","3","General","SMB","ACCT-010","support-ticket:FB-178"
"The single sign-on button just reloads the page after I approve the request in Okta. Clearing cookies did not help.","2026-08-05","5","Identity","Enterprise","ACCT-051","success-call:FB-003"
"The CSV export contains only the first thousand records even though the report shows several thousand. Our monthly analysis is missing most of the data.","2026-08-05","","Reporting","Enterprise","ACCT-069","success-call:FB-045"
"Company sign-in worked on the first attempt for all twelve people we onboarded today. It was a smooth start for the new team.","2026-08-05","1","Identity","SMB","ACCT-019","support-ticket:FB-115"
"Our integration stores the webhook event identifier with each received message. The operations team uses it when reviewing delivery logs.","2026-08-05","","Integrations","Mid-market","ACCT-032","in-app-survey:FB-152"
"Our new starter gets an invalid audience error when signing in through Azure AD. The same account can access our other tools without a problem.","2026-08-06","2","Identity","SMB","ACCT-004","support-ticket:FB-004"
"Several webhook events never reached our endpoint, even though your delivery log marks them as successful. Our downstream queue is missing updates.","2026-08-06","","Integrations","Mid-market","ACCT-041","in-app-survey:FB-065"
